%BLOCK lattice_cart
8.6493225003  -0.0041067078  0.0470949615
-2.8839503292  8.5298654762  0.0494422281
-3.5461821387  -2.4541631591  8.2506575972
%ENDBLOCK lattice_cart

%BLOCK positions_abs
Fe  2.9766109815 1.4460685130 1.1979963551 # 2-mol % NUM=1
H  1.9924785317 9.0413393815 5.6772698675 # 1-mol % NUM=1
H  3.7338318025 9.2774653616 5.9584631317 # 1-mol % NUM=1
H  2.8898440765 7.9328848740 6.7381645207 # 1-mol % NUM=1
H  3.1763546370 8.2848896165 3.6964381090 # 1-mol % NUM=1
H  2.4163825006 6.9079598694 4.5128346287 # 1-mol % NUM=1
H  4.7915412430 6.5979987214 5.6572341357 # 1-mol % NUM=1
H  5.3848228163 7.7213619634 4.4292791345 # 1-mol % NUM=1
H  3.9808907273 3.9421020567 3.2276051485 # 1-mol % NUM=1
H  2.8748812930 5.0647585561 4.0258820444 # 1-mol % NUM=1
H  4.3905176387 4.7051803546 6.1778983159 # 1-mol % NUM=1
H  5.0775670079 3.3550194098 5.2815720927 # 1-mol % NUM=1
H  2.1138846956 3.7459285439 6.0436261184 # 1-mol % NUM=1
H  3.2174828303 2.4985029798 6.6491244866 # 1-mol % NUM=1
H  2.6711522255 2.4584933372 4.9572312929 # 1-mol % NUM=1
H  5.1480021916 5.4757762339 1.6422221593 # 1-mol % NUM=1
H  5.1697033064 7.1847597900 2.1179718396 # 1-mol % NUM=1
H  2.6187597079 7.1062925376 2.2379085323 # 1-mol % NUM=1
H  2.6568678042 5.3612577860 1.9467910784 # 1-mol % NUM=1
H  3.6666044681 7.4777603028 -0.0379685834 # 1-mol % NUM=1
H  2.1207132208 6.6065397534 -0.1149949474 # 1-mol % NUM=1
H  3.6445933599 5.7170230987 -0.3041806056 # 1-mol % NUM=1
H  6.3995811413 5.1766170113 4.9461995090 # 1-mol % NUM=1
H  6.8737579483 6.3172029502 3.6678786156 # 1-mol % NUM=1
H  7.1883880289 4.6710104714 2.0704373028 # 1-mol % NUM=1
H  5.9002354181 3.6292230445 2.6647977543 # 1-mol % NUM=1
H  8.6466613550 3.8865200897 4.0047384517 # 1-mol % NUM=1
H  8.0846415514 2.5660212177 2.9641799067 # 1-mol % NUM=1
H  7.3308502296 2.8157193932 4.5410041433 # 1-mol % NUM=1
C  2.9504095960 8.5228713127 5.8138328389 # 1-mol % NUM=1
C  3.2245102461 7.6491159919 4.5900971820 # 1-mol % NUM=1
C  4.5968955754 6.9911265039 4.6532925727 # 1-mol % NUM=1
C  3.8967910750 4.6688771938 4.0427572087 # 1-mol % NUM=1
C  4.1797983601 3.9831368467 5.3769971515 # 1-mol % NUM=1
C  2.9791513066 3.1218001244 5.7770611067 # 1-mol % NUM=1
C  4.6259466543 6.2366225067 2.2367380070 # 1-mol % NUM=1
C  3.1848326456 6.3056347388 1.7471637743 # 1-mol % NUM=1
C  3.1592953619 6.5423922941 0.2348171084 # 1-mol % NUM=1
C  6.2871339848 5.4132502392 3.8793082742 # 1-mol % NUM=1
C  6.7443520167 4.2542004724 2.9865597505 # 1-mol % NUM=1
C  7.7557338294 3.3362978205 3.6723027867 # 1-mol % NUM=1
N  4.8245701768 5.8240057216 3.6992225500 # 1-mol % NUM=1
Cl  3.6301046650 1.9408020076 -0.8726355506 # 2-mol % NUM=1
Cl  1.7977798127 -0.4236103744 1.4540328310 # 2-mol % NUM=1
Cl  4.8814725716 1.3608155050 2.3550675260 # 2-mol % NUM=1
Cl  1.7326145737 3.1739703975 1.8622164388 # 2-mol % NUM=1
%ENDBLOCK positions_abs

#MINSEP=2.0 Fe-Cl=2.23 H-C=1.1 C-C=1.52 C-N=1.52


---

      Step     Time          Energy          fmax
FIRE:    0 16:54:38     -221.346025       38.177270
FIRE:    1 16:54:41     -227.044785        8.221133
FIRE:    2 16:54:44     -229.421170        3.854881
FIRE:    3 16:54:48     -230.796376        3.603384
FIRE:    4 16:54:51     -231.798432        3.816610
FIRE:    5 16:54:54     -232.740256        3.598205
FIRE:    6 16:54:57     -233.699518        4.103397
FIRE:    7 16:55:00     -234.729036        4.253451
FIRE:    8 16:55:03     -235.742455        4.179413
FIRE:    9 16:55:07     -236.551772        3.987464
FIRE:   10 16:55:10     -237.212352        3.774958
FIRE:   11 16:55:13     -237.934940        3.703684
FIRE:   12 16:55:17     -238.704842        2.837378
FIRE:   13 16:55:20     -239.372572        2.616456
FIRE:   14 16:55:23     -239.895118        2.351169
FIRE:   15 16:55:26     -240.302858        2.167596
FIRE:   16 16:55:29     -240.596715        2.401281
FIRE:   17 16:55:32     -240.825251        2.434673
FIRE:   18 16:55:35     -241.148478        2.244489
FIRE:   19 16:55:38     -241.487541        0.983826
FIRE:   20 16:55:41     -241.640074        1.526597
FIRE:   21 16:55:45     -241.763061        1.818517
FIRE:   22 16:55:48     -241.861963        1.006695
FIRE:   23 16:55:50     -241.924586        0.588685
FIRE:   24 16:55:53     -241.950403        1.325332
FIRE:   25 16:55:56     -241.970166        1.122367
FIRE:   26 16:55:59     -242.000962        0.746626
FIRE:   27 16:56:02     -242.030464        0.540608
FIRE:   28 16:56:05     -242.051083        0.531772
FIRE:   29 16:56:08     -242.064638        0.575778
FIRE:   30 16:56:11     -242.079948        0.783255
FIRE:   31 16:56:14     -242.104296        0.808879
FIRE:   32 16:56:16     -242.142220        0.695008
FIRE:   33 16:56:19     -242.187932        0.462006
FIRE:   34 16:56:22     -242.229849        0.444586
FIRE:   35 16:56:25     -242.267664        0.576145
FIRE:   36 16:56:28     -242.316249        0.632634
FIRE:   37 16:56:31     -242.378148        0.425523
FIRE:   38 16:56:34     -242.434871        0.457073
FIRE:   39 16:56:37     -242.495564        0.526302
FIRE:   40 16:56:40     -242.570207        0.342754
FIRE:   41 16:56:42     -242.642876        0.555270
FIRE:   42 16:56:45     -242.731052        0.468402
FIRE:   43 16:56:48     -242.822673        0.527504
FIRE:   44 16:56:51     -242.927410        0.382263
FIRE:   45 16:56:54     -243.036183        0.412446
FIRE:   46 16:56:57     -243.130217        0.553826
FIRE:   47 16:57:00     -243.210782        0.629700
FIRE:   48 16:57:02     -243.284592        0.595150
FIRE:   49 16:57:05     -243.347763        0.601931
FIRE:   50 16:57:07     -243.395536        1.073553
FIRE:   51 16:57:10     -243.420608        0.367723
FIRE:   52 16:57:13     -243.423240        0.238842
FIRE:   53 16:57:16     -243.426179        0.137249
FIRE:   54 16:57:18     -243.427824        0.191424
FIRE:   55 16:57:20     -243.429535        0.313473
FIRE:   56 16:57:23     -243.433066        0.297839
FIRE:   57 16:57:26     -243.437782        0.161659
FIRE:   58 16:57:29     -243.441884        0.130736
FIRE:   59 16:57:31     -243.445723        0.182103
FIRE:   60 16:57:34     -243.451228        0.179345
FIRE:   61 16:57:36     -243.458203        0.136575
FIRE:   62 16:57:39     -243.464937        0.206762
FIRE:   63 16:57:42     -243.473799        0.165018
FIRE:   64 16:57:44     -243.483735        0.136064
FIRE:   65 16:57:47     -243.495536        0.130711
FIRE:   66 16:57:50     -243.508806        0.202808
FIRE:   67 16:57:52     -243.524775        0.132141
FIRE:   68 16:57:55     -243.542081        0.143823
FIRE:   69 16:57:58     -243.559212        0.292074
FIRE:   70 16:58:00     -243.572767        0.486733
FIRE:   71 16:58:03     -243.580686        0.101559
FIRE:   72 16:58:06     -243.577703        0.409665
FIRE:   73 16:58:08     -243.579545        0.324361
