%BLOCK lattice_cart
8.3314243273  -0.0956853922  -0.0470161769
-3.3726052025  8.2954954257  0.0937700956
-1.7535142569  -4.0788592203  8.3119912540
%ENDBLOCK lattice_cart

%BLOCK positions_abs
Fe  5.0930691192 -1.6965770058 2.3378487210 # 2-mol % NUM=1
H  -3.8528886729 2.2425432882 5.1513021058 # 1-mol % NUM=1
H  -3.8153632973 1.2124279097 6.6043782713 # 1-mol % NUM=1
H  -3.5781872731 0.4927809986 4.9962869825 # 1-mol % NUM=1
H  -1.6925121455 2.4710140595 6.4025635763 # 1-mol % NUM=1
H  -1.4543499628 1.8504289911 4.7495056105 # 1-mol % NUM=1
H  -1.5346579942 -0.5404584281 5.7973637999 # 1-mol % NUM=1
H  -1.5171218674 0.2625146093 7.3857000953 # 1-mol % NUM=1
H  1.9436997254 0.4210738762 4.9942264828 # 1-mol % NUM=1
H  0.4028230146 1.0184692783 4.3416495364 # 1-mol % NUM=1
H  -0.3508412872 -1.5421099227 4.3922760567 # 1-mol % NUM=1
H  1.3653922089 -1.8735186518 4.6115713239 # 1-mol % NUM=1
H  -0.0179156812 -0.4028736281 2.2950419844 # 1-mol % NUM=1
H  0.9590210273 -1.8825749524 2.2163023475 # 1-mol % NUM=1
H  1.7489353653 -0.3216580595 2.5305256844 # 1-mol % NUM=1
H  1.9422941360 1.2424984226 7.3074827444 # 1-mol % NUM=1
H  0.3471841438 1.7201308145 7.9243594792 # 1-mol % NUM=1
H  0.0728827839 3.2732151748 6.0005203108 # 1-mol % NUM=1
H  1.4563622345 2.6005868492 5.1694523566 # 1-mol % NUM=1
H  1.5214654869 4.1433573948 7.8185222426 # 1-mol % NUM=1
H  2.2165127910 4.6340418410 6.2485382850 # 1-mol % NUM=1
H  2.9250646763 3.2949627860 7.1906145905 # 1-mol % NUM=1
H  0.2139431827 -1.7615843083 6.6552131362 # 1-mol % NUM=1
H  0.1692249497 -0.7718968981 8.1281223551 # 1-mol % NUM=1
H  2.4548184134 -0.6081838041 8.3343744555 # 1-mol % NUM=1
H  2.7667125984 -0.6085185763 6.5986988422 # 1-mol % NUM=1
H  2.0424755758 -3.1438489843 8.1732401303 # 1-mol % NUM=1
H  3.6520104077 -2.6126733358 7.6447201548 # 1-mol % NUM=1
H  2.4236672769 -3.0351476729 6.4368033289 # 1-mol % NUM=1
C  -3.3660820241 1.3753641142 5.6156962195 # 1-mol % NUM=1
C  -1.8608285778 1.6100320696 5.7413562436 # 1-mol % NUM=1
C  -1.2150722210 0.3630557147 6.3340041710 # 1-mol % NUM=1
C  0.8654687134 0.2087403148 4.9210303498 # 1-mol % NUM=1
C  0.6544117408 -1.1299848877 4.2275587353 # 1-mol % NUM=1
C  0.8506444914 -0.9203104882 2.7266633390 # 1-mol % NUM=1
C  0.9292069532 1.5422394734 7.0110895096 # 1-mol % NUM=1
C  1.0501121773 2.8037226024 6.1684775684 # 1-mol % NUM=1
C  1.9843393372 3.7786596632 6.8942754609 # 1-mol % NUM=1
C  0.6757195193 -0.9042658653 7.1632616111 # 1-mol % NUM=1
C  2.1771785483 -1.0945936099 7.3868383851 # 1-mol % NUM=1
C  2.5826669081 -2.5613626614 7.4152480653 # 1-mol % NUM=1
N  0.3113467871 0.3237506335 6.3359896414 # 1-mol % NUM=1
Cl  3.4438493450 -1.8332958859 0.8274191416 # 2-mol % NUM=1
Cl  4.3885618366 -2.0798449717 4.4186333905 # 2-mol % NUM=1
Cl  6.6561505568 -3.2328386007 1.9342564165 # 2-mol % NUM=1
Cl  5.9125154535 0.3711782568 2.1304478075 # 2-mol % NUM=1
%ENDBLOCK positions_abs

#MINSEP=2.0 Fe-Cl=2.23 H-C=1.09 C-C=1.52 C-N=1.52


---

      Step     Time          Energy          fmax
FIRE:    0 16:17:48     -226.632658       10.486362
FIRE:    1 16:17:51     -231.419404        4.104465
FIRE:    2 16:17:53     -233.374383        3.453267
FIRE:    3 16:17:56     -234.165583        4.702416
FIRE:    4 16:17:59     -235.027280        5.712560
FIRE:    5 16:18:01     -236.519024        4.821676
FIRE:    6 16:18:04     -238.306862        4.138169
FIRE:    7 16:18:07     -239.645371        1.982929
FIRE:    8 16:18:10     -240.162960        3.046141
FIRE:    9 16:18:12     -240.261227        4.015576
FIRE:   10 16:18:15     -240.642097        2.661293
FIRE:   11 16:18:18     -241.013536        1.009342
FIRE:   12 16:18:20     -241.102196        1.270872
FIRE:   13 16:18:23     -241.120182        1.193165
FIRE:   14 16:18:26     -241.153281        1.080414
FIRE:   15 16:18:29     -241.196536        0.962720
FIRE:   16 16:18:32     -241.244419        0.801581
FIRE:   17 16:18:34     -241.292434        0.755010
FIRE:   18 16:18:37     -241.339176        0.760150
FIRE:   19 16:18:40     -241.385853        0.794637
FIRE:   20 16:18:42     -241.441786        0.818233
FIRE:   21 16:18:45     -241.513029        0.820390
FIRE:   22 16:18:48     -241.604013        0.780339
FIRE:   23 16:18:51     -241.712699        0.727659
FIRE:   24 16:18:53     -241.831255        0.645644
FIRE:   25 16:18:56     -241.951939        0.569293
FIRE:   26 16:18:59     -242.077799        0.681875
FIRE:   27 16:19:01     -242.220922        0.627840
FIRE:   28 16:19:04     -242.369177        0.469743
FIRE:   29 16:19:07     -242.504798        0.503781
FIRE:   30 16:19:10     -242.640309        0.528140
FIRE:   31 16:19:13     -242.766828        0.519095
FIRE:   32 16:19:15     -242.881589        0.582271
FIRE:   33 16:19:18     -242.999706        0.549555
FIRE:   34 16:19:21     -243.119622        0.480157
FIRE:   35 16:19:23     -243.236621        0.430667
FIRE:   36 16:19:26     -243.344429        0.408859
FIRE:   37 16:19:29     -243.434185        0.370681
FIRE:   38 16:19:31     -243.499660        0.418781
FIRE:   39 16:19:34     -243.545196        0.321371
FIRE:   40 16:19:37     -243.576650        0.495438
FIRE:   41 16:19:39     -243.592070        0.359129
FIRE:   42 16:19:42     -243.601545        0.447451
FIRE:   43 16:19:45     -243.620957        0.356782
FIRE:   44 16:19:48     -243.641927        0.207290
FIRE:   45 16:19:50     -243.656447        0.403341
FIRE:   46 16:19:53     -243.675991        0.179382
FIRE:   47 16:19:56     -243.689744        0.280028
FIRE:   48 16:19:58     -243.705997        0.218488
FIRE:   49 16:20:01     -243.722777        0.265988
FIRE:   50 16:20:04     -243.744098        0.199233
FIRE:   51 16:20:06     -243.765528        0.382094
FIRE:   52 16:20:09     -243.790116        0.356454
FIRE:   53 16:20:12     -243.811371        0.360444
FIRE:   54 16:20:14     -243.822009        0.783748
FIRE:   55 16:20:17     -243.838986        0.127810
FIRE:   56 16:20:19     -243.830849        0.644884
FIRE:   57 16:20:22     -243.835762        0.487372
FIRE:   58 16:20:25     -243.841531        0.214952
FIRE:   59 16:20:28     -243.843658        0.126494
FIRE:   60 16:20:30     -243.843746        0.126473
FIRE:   61 16:20:33     -243.843944        0.126433
FIRE:   62 16:20:35     -243.844185        0.126370
FIRE:   63 16:20:37     -243.844514        0.126286
FIRE:   64 16:20:40     -243.844887        0.126182
FIRE:   65 16:20:42     -243.845282        0.126056
FIRE:   66 16:20:45     -243.845720        0.125912
FIRE:   67 16:20:47     -243.846269        0.125734
FIRE:   68 16:20:50     -243.846949        0.125526
FIRE:   69 16:20:53     -243.847804        0.125296
FIRE:   70 16:20:55     -243.848857        0.125074
FIRE:   71 16:20:58     -243.850173        0.124922
FIRE:   72 16:21:01     -243.851730        0.125015
FIRE:   73 16:21:03     -243.853573        0.125696
FIRE:   74 16:21:06     -243.855766        0.126860
