%BLOCK lattice_cart
8.6493225003  -0.0041067078  0.0470949615
-2.8839503292  8.5298654762  0.0494422281
-3.5461821387  -2.4541631591  8.2506575972
%ENDBLOCK lattice_cart

%BLOCK positions_abs
Fe  2.9766109815 1.4460685130 1.1979963551 # 2-mol % NUM=1
H  1.9924785317 9.0413393815 5.6772698675 # 1-mol % NUM=1
H  3.7338318025 9.2774653616 5.9584631317 # 1-mol % NUM=1
H  2.8898440765 7.9328848740 6.7381645207 # 1-mol % NUM=1
H  3.1763546370 8.2848896165 3.6964381090 # 1-mol % NUM=1
H  2.4163825006 6.9079598694 4.5128346287 # 1-mol % NUM=1
H  4.7915412430 6.5979987214 5.6572341357 # 1-mol % NUM=1
H  5.3848228163 7.7213619634 4.4292791345 # 1-mol % NUM=1
H  3.9808907273 3.9421020567 3.2276051485 # 1-mol % NUM=1
H  2.8748812930 5.0647585561 4.0258820444 # 1-mol % NUM=1
H  4.3905176387 4.7051803546 6.1778983159 # 1-mol % NUM=1
H  5.0775670079 3.3550194098 5.2815720927 # 1-mol % NUM=1
H  2.1138846956 3.7459285439 6.0436261184 # 1-mol % NUM=1
H  3.2174828303 2.4985029798 6.6491244866 # 1-mol % NUM=1
H  2.6711522255 2.4584933372 4.9572312929 # 1-mol % NUM=1
H  5.1480021916 5.4757762339 1.6422221593 # 1-mol % NUM=1
H  5.1697033064 7.1847597900 2.1179718396 # 1-mol % NUM=1
H  2.6187597079 7.1062925376 2.2379085323 # 1-mol % NUM=1
H  2.6568678042 5.3612577860 1.9467910784 # 1-mol % NUM=1
H  3.6666044681 7.4777603028 -0.0379685834 # 1-mol % NUM=1
H  2.1207132208 6.6065397534 -0.1149949474 # 1-mol % NUM=1
H  3.6445933599 5.7170230987 -0.3041806056 # 1-mol % NUM=1
H  6.3995811413 5.1766170113 4.9461995090 # 1-mol % NUM=1
H  6.8737579483 6.3172029502 3.6678786156 # 1-mol % NUM=1
H  7.1883880289 4.6710104714 2.0704373028 # 1-mol % NUM=1
H  5.9002354181 3.6292230445 2.6647977543 # 1-mol % NUM=1
H  8.6466613550 3.8865200897 4.0047384517 # 1-mol % NUM=1
H  8.0846415514 2.5660212177 2.9641799067 # 1-mol % NUM=1
H  7.3308502296 2.8157193932 4.5410041433 # 1-mol % NUM=1
C  2.9504095960 8.5228713127 5.8138328389 # 1-mol % NUM=1
C  3.2245102461 7.6491159919 4.5900971820 # 1-mol % NUM=1
C  4.5968955754 6.9911265039 4.6532925727 # 1-mol % NUM=1
C  3.8967910750 4.6688771938 4.0427572087 # 1-mol % NUM=1
C  4.1797983601 3.9831368467 5.3769971515 # 1-mol % NUM=1
C  2.9791513066 3.1218001244 5.7770611067 # 1-mol % NUM=1
C  4.6259466543 6.2366225067 2.2367380070 # 1-mol % NUM=1
C  3.1848326456 6.3056347388 1.7471637743 # 1-mol % NUM=1
C  3.1592953619 6.5423922941 0.2348171084 # 1-mol % NUM=1
C  6.2871339848 5.4132502392 3.8793082742 # 1-mol % NUM=1
C  6.7443520167 4.2542004724 2.9865597505 # 1-mol % NUM=1
C  7.7557338294 3.3362978205 3.6723027867 # 1-mol % NUM=1
N  4.8245701768 5.8240057216 3.6992225500 # 1-mol % NUM=1
Cl  3.6301046650 1.9408020076 -0.8726355506 # 2-mol % NUM=1
Cl  1.7977798127 -0.4236103744 1.4540328310 # 2-mol % NUM=1
Cl  4.8814725716 1.3608155050 2.3550675260 # 2-mol % NUM=1
Cl  1.7326145737 3.1739703975 1.8622164388 # 2-mol % NUM=1
%ENDBLOCK positions_abs

#MINSEP=2.0 Fe-Cl=2.23 H-C=1.1 C-C=1.52 C-N=1.52


---

      Step     Time          Energy          fmax
FIRE:    0 16:46:48     -214.634065       36.485794
FIRE:    1 16:46:51     -222.560780       11.715697
FIRE:    2 16:46:54     -226.233954        4.745268
FIRE:    3 16:46:57     -228.322361        4.375032
FIRE:    4 16:46:59     -229.740252        4.850332
FIRE:    5 16:47:02     -231.090386        4.887972
FIRE:    6 16:47:05     -232.626789        5.574644
FIRE:    7 16:47:08     -234.318795        5.462562
FIRE:    8 16:47:11     -235.910517        3.944011
FIRE:    9 16:47:14     -237.114414        2.274852
FIRE:   10 16:47:17     -237.729721        2.659402
FIRE:   11 16:47:20     -238.004889        3.726033
FIRE:   12 16:47:23     -238.509164        1.970355
FIRE:   13 16:47:26     -238.889135        1.662674
FIRE:   14 16:47:29     -239.009709        2.326161
FIRE:   15 16:47:31     -239.070073        2.104426
FIRE:   16 16:47:34     -239.171696        1.643462
FIRE:   17 16:47:37     -239.284395        1.232505
FIRE:   18 16:47:40     -239.382574        1.178493
FIRE:   19 16:47:43     -239.456910        1.122754
FIRE:   20 16:47:45     -239.518283        1.044291
FIRE:   21 16:47:48     -239.588561        1.329916
FIRE:   22 16:47:51     -239.694746        1.291936
FIRE:   23 16:47:54     -239.842848        1.016229
FIRE:   24 16:47:57     -240.012248        0.883508
FIRE:   25 16:48:00     -240.169628        0.849889
FIRE:   26 16:48:02     -240.315273        0.963253
FIRE:   27 16:48:05     -240.493798        1.067032
FIRE:   28 16:48:08     -240.718693        0.859946
FIRE:   29 16:48:11     -240.934726        0.708577
FIRE:   30 16:48:13     -241.141678        0.780266
FIRE:   31 16:48:16     -241.386248        0.642336
FIRE:   32 16:48:19     -241.611405        0.681965
FIRE:   33 16:48:22     -241.830816        0.633487
FIRE:   34 16:48:24     -242.030705        0.625660
FIRE:   35 16:48:28     -242.224716        0.670955
FIRE:   36 16:48:30     -242.429255        0.709530
FIRE:   37 16:48:33     -242.627785        0.548291
FIRE:   38 16:48:36     -242.807977        0.450477
FIRE:   39 16:48:39     -242.972573        0.439039
FIRE:   40 16:48:41     -243.096503        0.920220
FIRE:   41 16:48:44     -243.210936        0.462197
FIRE:   42 16:48:47     -243.292883        0.842480
FIRE:   43 16:48:50     -243.373997        0.472390
FIRE:   44 16:48:53     -243.451316        0.543185
FIRE:   45 16:48:55     -243.532583        0.450348
FIRE:   46 16:48:58     -243.608016        0.691093
FIRE:   47 16:49:01     -243.652894        0.765384
FIRE:   48 16:49:04     -243.548179        2.351312
FIRE:   49 16:49:07     -243.685313        0.149928
FIRE:   50 16:49:10     -243.583405        2.033596
FIRE:   51 16:49:13     -243.630609        1.553445
FIRE:   52 16:49:16     -243.681957        0.684120
FIRE:   53 16:49:19     -243.691170        0.328309
FIRE:   54 16:49:22     -243.691718        0.309075
FIRE:   55 16:49:24     -243.692727        0.272750
FIRE:   56 16:49:27     -243.693999        0.223182
FIRE:   57 16:49:30     -243.695293        0.163938
FIRE:   58 16:49:33     -243.696478        0.118371
FIRE:   59 16:49:36     -243.697377        0.114637
FIRE:   60 16:49:39     -243.698035        0.114426
FIRE:   61 16:49:42     -243.698693        0.156869
FIRE:   62 16:49:45     -243.699571        0.188976
FIRE:   63 16:49:48     -243.700996        0.193912
FIRE:   64 16:49:51     -243.703058        0.164961
FIRE:   65 16:49:53     -243.705690        0.101477
FIRE:   66 16:49:56     -243.708410        0.088462
