%BLOCK lattice_cart
7.3680629973  0.0000000000  0.0000000000
0.0000000000  7.3680629973  0.0000000000
0.0000000000  0.0000000000  7.3680629973
%ENDBLOCK lattice_cart

%BLOCK positions_abs
C  1.0845351207 3.1052568157 3.3839056176 # 1-mol % NUM=1
C  2.1963938005 3.0628009286 3.3634117421 # 1-mol % NUM=1
C  2.7171548489 4.0076908836 3.0383214807 # 1-mol % NUM=1
N  3.8773007811 3.9451665968 3.0733108097 # 1-mol % NUM=1
C  4.2494239840 3.6532484897 4.1087435962 # 1-mol % NUM=1
C  3.9065810021 4.3628250599 4.9165491895 # 1-mol % NUM=1
C  4.2792546085 4.0285715295 5.9159073788 # 1-mol % NUM=1
C  4.2824569978 3.2319872285 2.2585430332 # 1-mol % NUM=1
C  4.0498549860 2.1428622620 2.3962248223 # 1-mol % NUM=1
C  4.4731980965 1.4883457842 1.5992648800 # 1-mol % NUM=1
C  4.2713774862 5.0097815527 2.8025517953 # 1-mol % NUM=1
C  5.4006489781 5.0850645990 2.8292857359 # 1-mol % NUM=1
C  5.7584103918 6.1248995536 2.6274239662 # 1-mol % NUM=1
H  0.8078013122 2.3598443456 3.5332895376 # 1-mol % NUM=1
H  0.8024915128 3.3239949672 2.6622179843 # 1-mol % NUM=1
H  0.8124996437 3.6017465158 3.9534553977 # 1-mol % NUM=1
H  2.2907275976 2.5017672309 2.8091024772 # 1-mol % NUM=1
H  2.4719604347 2.7745757706 4.0599184592 # 1-mol % NUM=1
H  2.5013238433 4.6237167667 3.5164870926 # 1-mol % NUM=1
H  2.5221892054 4.2057542695 2.2828849648 # 1-mol % NUM=1
H  5.0539008547 3.6081967807 4.0770066655 # 1-mol % NUM=1
H  3.9873234118 2.9103090863 4.2666765945 # 1-mol % NUM=1
H  3.1016550876 4.3948347164 4.9514730229 # 1-mol % NUM=1
H  4.1724077276 5.1132413234 4.7899522137 # 1-mol % NUM=1
H  4.0130928075 3.2865710501 6.0839460099 # 1-mol % NUM=1
H  4.0154145830 4.5288222743 6.4903763200 # 1-mol % NUM=1
H  5.0850947940 4.0246024295 5.9318963018 # 1-mol % NUM=1
H  5.0864079841 3.3008987974 2.2678940254 # 1-mol % NUM=1
H  4.0052238821 3.5095943929 1.5555809792 # 1-mol % NUM=1
H  3.2751196573 1.9982763789 2.2877752542 # 1-mol % NUM=1
H  4.2624920355 1.8747415660 3.1212243470 # 1-mol % NUM=1
H  4.1997981886 1.7199202309 0.8776866773 # 1-mol % NUM=1
H  4.2133413790 0.7342950204 1.7258224397 # 1-mol % NUM=1
H  5.2772354359 1.4933900990 1.6018078103 # 1-mol % NUM=1
H  3.9345824516 5.5307516815 3.3191838651 # 1-mol % NUM=1
H  3.9886492397 5.1815253741 2.0666400560 # 1-mol % NUM=1
H  5.7354952012 4.6103296738 2.2712282812 # 1-mol % NUM=1
H  5.6975712742 4.8641733747 3.5442853732 # 1-mol % NUM=1
H  5.5056392862 6.3812512628 1.9069432660 # 1-mol % NUM=1
H  6.5655714844 6.1375649354 2.6304123038 # 1-mol % NUM=1
H  5.4974756444 6.6337679768 3.1949700098 # 1-mol % NUM=1
Cl  2.5346118454 3.4045128684 3.8235512484 # 2-mol % NUM=1
Fe  4.2587385867 3.4045128684 3.8235512484 # 2-mol % NUM=1
Cl  4.8334511519 2.8454766228 2.2971840043 # 2-mol % NUM=1
Cl  4.8334490654 5.0059048559 4.1025935186 # 2-mol % NUM=1
Cl  4.8334412410 2.3621581414 5.0708789930 # 2-mol % NUM=1
%ENDBLOCK positions_abs

#MINSEP=2.0


---

      Step     Time          Energy          fmax
FIRE:    0 15:57:54     -102.535902       32.258189
FIRE:    1 15:58:00     -124.663829       22.683031
FIRE:    2 15:58:05     -141.738935       17.132109
FIRE:    3 15:58:11     -155.972238       14.248080
FIRE:    4 15:58:16     -168.064568       11.750105
FIRE:    5 15:58:22     -178.337694       13.462449
FIRE:    6 15:58:27     -187.107199       15.763418
FIRE:    7 15:58:33     -194.631415       14.638315
FIRE:    8 15:58:38     -200.958644       11.814468
FIRE:    9 15:58:43     -206.245387       10.597537
FIRE:   10 15:58:48     -210.568745        8.491518
FIRE:   11 15:58:53     -213.926479        5.470159
FIRE:   12 15:58:58     -216.283518        4.153243
FIRE:   13 15:59:03     -217.892348        3.997157
FIRE:   14 15:59:07     -219.108090        3.749526
FIRE:   15 15:59:12     -220.176827        4.614911
FIRE:   16 15:59:16     -221.268091        5.344932
FIRE:   17 15:59:21     -222.475783        5.262407
FIRE:   18 15:59:25     -223.834253        4.778286
FIRE:   19 15:59:30     -225.324330        3.846995
FIRE:   20 15:59:34     -226.867204        3.664214
FIRE:   21 15:59:38     -228.404067        3.498639
FIRE:   22 15:59:42     -229.939066        3.096910
FIRE:   23 15:59:46     -231.417583        3.057738
FIRE:   24 15:59:49     -232.765942        3.128827
FIRE:   25 15:59:53     -233.913160        2.926729
FIRE:   26 15:59:57     -234.802824        2.349508
FIRE:   27 16:00:01     -235.462461        2.280362
FIRE:   28 16:00:05     -235.954298        3.082095
FIRE:   29 16:00:10     -236.404350        3.583626
FIRE:   30 16:00:14     -236.973441        3.021824
FIRE:   31 16:00:18     -237.671068        2.541563
FIRE:   32 16:00:22     -238.372819        2.435911
FIRE:   33 16:00:26     -239.003590        2.147205
FIRE:   34 16:00:30     -239.543222        2.411005
FIRE:   35 16:00:33     -239.989195        2.004751
FIRE:   36 16:00:37     -240.320910        1.643719
FIRE:   37 16:00:41     -240.544906        1.545803
FIRE:   38 16:00:45     -240.703426        1.920518
FIRE:   39 16:00:49     -240.869887        2.165445
FIRE:   40 16:00:52     -241.081577        1.512309
FIRE:   41 16:00:55     -241.304871        1.223764
FIRE:   42 16:00:57     -241.491446        1.167455
FIRE:   43 16:01:00     -241.623316        1.414140
FIRE:   44 16:01:03     -241.697389        1.211783
FIRE:   45 16:01:05     -241.536126        3.158878
FIRE:   46 16:01:08     -241.766417        2.660842
FIRE:   47 16:01:11     -242.056939        1.017962
FIRE:   48 16:01:14     -242.073719        0.736284
FIRE:   49 16:01:16     -242.096224        0.366656
FIRE:   50 16:01:19     -242.115241        0.377586
FIRE:   51 16:01:22     -242.135530        0.620843
FIRE:   52 16:01:24     -242.166041        0.588158
FIRE:   53 16:01:27     -242.204076        0.320087
FIRE:   54 16:01:30     -242.240026        0.316745
FIRE:   55 16:01:32     -242.275955        0.526638
FIRE:   56 16:01:35     -242.319868        0.484131
FIRE:   57 16:01:38     -242.370383        0.339758
FIRE:   58 16:01:40     -242.418551        0.409592
FIRE:   59 16:01:43     -242.475515        0.331119
FIRE:   60 16:01:45     -242.534585        0.434238
FIRE:   61 16:01:48     -242.602648        0.310625
FIRE:   62 16:01:51     -242.674659        0.430845
FIRE:   63 16:01:53     -242.758909        0.326974
FIRE:   64 16:01:56     -242.845156        0.326585
FIRE:   65 16:01:58     -242.932060        0.648399
FIRE:   66 16:02:01     -243.006462        1.053158
FIRE:   67 16:02:03     -243.073735        1.475827
FIRE:   68 16:02:06     -243.115981        0.240976
FIRE:   69 16:02:08     -243.096065        1.298957
FIRE:   70 16:02:11     -243.109730        0.977227
FIRE:   71 16:02:13     -243.125523        0.400229
FIRE:   72 16:02:16     -243.130984        0.247108
FIRE:   73 16:02:18     -243.131313        0.237043
FIRE:   74 16:02:21     -243.131971        0.236946
FIRE:   75 16:02:23     -243.132871        0.236788
FIRE:   76 16:02:25     -243.134011        0.236583
FIRE:   77 16:02:28     -243.135283        0.236336
FIRE:   78 16:02:31     -243.136731        0.236045
FIRE:   79 16:02:33     -243.138310        0.235734
FIRE:   80 16:02:35     -243.140263        0.235385
FIRE:   81 16:02:38     -243.142697        0.235042
FIRE:   82 16:02:40     -243.145812        0.234741
FIRE:   83 16:02:43     -243.149716        0.234560
FIRE:   84 16:02:45     -243.154498        0.234505
FIRE:   85 16:02:48     -243.160223        0.234501
FIRE:   86 16:02:50     -243.167001        0.234547
FIRE:   87 16:02:53     -243.175160        0.234885
FIRE:   88 16:02:55     -243.185031        0.235350
FIRE:   89 16:02:58     -243.196656        0.235543
FIRE:   90 16:03:00     -243.210256        0.236578
FIRE:   91 16:03:03     -243.226312        0.234594
FIRE:   92 16:03:05     -243.245000        0.229840
FIRE:   93 16:03:08     -243.266693        0.229013
FIRE:   94 16:03:10     -243.291962        0.227802
FIRE:   95 16:03:12     -243.321178        0.221258
FIRE:   96 16:03:15     -243.354716        0.213847
FIRE:   97 16:03:17     -243.392773        0.202867
FIRE:   98 16:03:20     -243.435545        0.185348
FIRE:   99 16:03:22     -243.480620        0.440668
FIRE:  100 16:03:25     -243.516439        1.055334
FIRE:  101 16:03:27     -243.480291        2.858847
FIRE:  102 16:03:29     -243.580642        0.345986
FIRE:  103 16:03:32     -243.581585        0.256124
FIRE:  104 16:03:34     -243.582879        0.120576
FIRE:  105 16:03:37     -243.583954        0.118479
FIRE:  106 16:03:39     -243.584809        0.206098
FIRE:  107 16:03:41     -243.586016        0.261981
FIRE:  108 16:03:44     -243.587836        0.230605
FIRE:  109 16:03:46     -243.590052        0.127786
FIRE:  110 16:03:48     -243.592443        0.107091
FIRE:  111 16:03:51     -243.595031        0.152437
FIRE:  112 16:03:53     -243.598431        0.160237
FIRE:  113 16:03:56     -243.602774        0.110038
FIRE:  114 16:03:58     -243.607599        0.151475
FIRE:  115 16:04:00     -243.613675        0.146082
FIRE:  116 16:04:03     -243.620957        0.108151
FIRE:  117 16:04:05     -243.629665        0.108234
FIRE:  118 16:04:07     -243.640150        0.128078
FIRE:  119 16:04:10     -243.652675        0.106097
FIRE:  120 16:04:12     -243.667327        0.135097
FIRE:  121 16:04:14     -243.684260        0.172591
FIRE:  122 16:04:17     -243.702729        0.285218
FIRE:  123 16:04:19     -243.718237        0.642038
FIRE:  124 16:04:21     -243.727252        0.098679
