%BLOCK lattice_cart
8.6493225003  -0.0041067078  0.0470949615
-2.8839503292  8.5298654762  0.0494422281
-3.5461821387  -2.4541631591  8.2506575972
%ENDBLOCK lattice_cart

%BLOCK positions_abs
Fe  2.9766109815 1.4460685130 1.1979963551 # 2-mol % NUM=1
H  1.9924785317 9.0413393815 5.6772698675 # 1-mol % NUM=1
H  3.7338318025 9.2774653616 5.9584631317 # 1-mol % NUM=1
H  2.8898440765 7.9328848740 6.7381645207 # 1-mol % NUM=1
H  3.1763546370 8.2848896165 3.6964381090 # 1-mol % NUM=1
H  2.4163825006 6.9079598694 4.5128346287 # 1-mol % NUM=1
H  4.7915412430 6.5979987214 5.6572341357 # 1-mol % NUM=1
H  5.3848228163 7.7213619634 4.4292791345 # 1-mol % NUM=1
H  3.9808907273 3.9421020567 3.2276051485 # 1-mol % NUM=1
H  2.8748812930 5.0647585561 4.0258820444 # 1-mol % NUM=1
H  4.3905176387 4.7051803546 6.1778983159 # 1-mol % NUM=1
H  5.0775670079 3.3550194098 5.2815720927 # 1-mol % NUM=1
H  2.1138846956 3.7459285439 6.0436261184 # 1-mol % NUM=1
H  3.2174828303 2.4985029798 6.6491244866 # 1-mol % NUM=1
H  2.6711522255 2.4584933372 4.9572312929 # 1-mol % NUM=1
H  5.1480021916 5.4757762339 1.6422221593 # 1-mol % NUM=1
H  5.1697033064 7.1847597900 2.1179718396 # 1-mol % NUM=1
H  2.6187597079 7.1062925376 2.2379085323 # 1-mol % NUM=1
H  2.6568678042 5.3612577860 1.9467910784 # 1-mol % NUM=1
H  3.6666044681 7.4777603028 -0.0379685834 # 1-mol % NUM=1
H  2.1207132208 6.6065397534 -0.1149949474 # 1-mol % NUM=1
H  3.6445933599 5.7170230987 -0.3041806056 # 1-mol % NUM=1
H  6.3995811413 5.1766170113 4.9461995090 # 1-mol % NUM=1
H  6.8737579483 6.3172029502 3.6678786156 # 1-mol % NUM=1
H  7.1883880289 4.6710104714 2.0704373028 # 1-mol % NUM=1
H  5.9002354181 3.6292230445 2.6647977543 # 1-mol % NUM=1
H  8.6466613550 3.8865200897 4.0047384517 # 1-mol % NUM=1
H  8.0846415514 2.5660212177 2.9641799067 # 1-mol % NUM=1
H  7.3308502296 2.8157193932 4.5410041433 # 1-mol % NUM=1
C  2.9504095960 8.5228713127 5.8138328389 # 1-mol % NUM=1
C  3.2245102461 7.6491159919 4.5900971820 # 1-mol % NUM=1
C  4.5968955754 6.9911265039 4.6532925727 # 1-mol % NUM=1
C  3.8967910750 4.6688771938 4.0427572087 # 1-mol % NUM=1
C  4.1797983601 3.9831368467 5.3769971515 # 1-mol % NUM=1
C  2.9791513066 3.1218001244 5.7770611067 # 1-mol % NUM=1
C  4.6259466543 6.2366225067 2.2367380070 # 1-mol % NUM=1
C  3.1848326456 6.3056347388 1.7471637743 # 1-mol % NUM=1
C  3.1592953619 6.5423922941 0.2348171084 # 1-mol % NUM=1
C  6.2871339848 5.4132502392 3.8793082742 # 1-mol % NUM=1
C  6.7443520167 4.2542004724 2.9865597505 # 1-mol % NUM=1
C  7.7557338294 3.3362978205 3.6723027867 # 1-mol % NUM=1
N  4.8245701768 5.8240057216 3.6992225500 # 1-mol % NUM=1
Cl  3.6301046650 1.9408020076 -0.8726355506 # 2-mol % NUM=1
Cl  1.7977798127 -0.4236103744 1.4540328310 # 2-mol % NUM=1
Cl  4.8814725716 1.3608155050 2.3550675260 # 2-mol % NUM=1
Cl  1.7326145737 3.1739703975 1.8622164388 # 2-mol % NUM=1
%ENDBLOCK positions_abs

#MINSEP=2.0 Fe-Cl=2.23 H-C=1.1 C-C=1.52 C-N=1.52


---

      Step     Time          Energy          fmax
FIRE:    0 16:51:03     -216.904155       13.467668
FIRE:    1 16:51:06     -222.684819        8.979015
FIRE:    2 16:51:09     -225.569098        6.434539
FIRE:    3 16:51:12     -227.010195        4.439098
FIRE:    4 16:51:15     -228.164783        5.201629
FIRE:    5 16:51:18     -229.644222        5.351113
FIRE:    6 16:51:21     -231.442523        4.663264
FIRE:    7 16:51:24     -233.106826        3.684843
FIRE:    8 16:51:27     -234.173633        2.284154
FIRE:    9 16:51:30     -234.649348        3.072606
FIRE:   10 16:51:33     -235.028267        3.617706
FIRE:   11 16:51:36     -235.700209        3.306546
FIRE:   12 16:51:39     -236.345193        2.196083
FIRE:   13 16:51:41     -236.661116        2.425190
FIRE:   14 16:51:44     -236.924571        2.707755
FIRE:   15 16:51:47     -237.522813        2.927318
FIRE:   16 16:51:50     -238.215965        2.084138
FIRE:   17 16:51:53     -238.490936        4.758260
FIRE:   18 16:51:56     -239.004116        2.020317
FIRE:   19 16:51:59     -239.089573        1.785867
FIRE:   20 16:52:02     -239.224360        1.347570
FIRE:   21 16:52:05     -239.373559        1.274451
FIRE:   22 16:52:08     -239.547960        1.831884
FIRE:   23 16:52:11     -239.778689        1.814420
FIRE:   24 16:52:14     -240.056139        1.407329
FIRE:   25 16:52:16     -240.339752        1.131701
FIRE:   26 16:52:19     -240.633324        1.076850
FIRE:   27 16:52:22     -240.950321        1.076016
FIRE:   28 16:52:25     -241.230644        1.562007
FIRE:   29 16:52:28     -241.441347        1.641678
FIRE:   30 16:52:31     -241.661921        1.350703
FIRE:   31 16:52:34     -241.892255        1.128191
FIRE:   32 16:52:37     -242.126625        0.909802
FIRE:   33 16:52:40     -242.275517        0.991598
FIRE:   34 16:52:43     -242.409558        0.951057
FIRE:   35 16:52:46     -242.545837        0.693071
FIRE:   36 16:52:49     -242.687271        0.521623
FIRE:   37 16:52:52     -242.755334        0.810928
FIRE:   38 16:52:55     -242.788960        0.368476
FIRE:   39 16:52:57     -242.807275        0.517036
FIRE:   40 16:53:00     -242.827016        0.523915
FIRE:   41 16:53:03     -242.853228        0.335726
FIRE:   42 16:53:06     -242.866652        0.534947
FIRE:   43 16:53:09     -242.889771        0.483909
FIRE:   44 16:53:12     -242.916553        0.342308
FIRE:   45 16:53:15     -242.937017        0.441281
FIRE:   46 16:53:18     -242.963427        0.366946
FIRE:   47 16:53:21     -242.992270        0.484472
FIRE:   48 16:53:24     -243.031270        0.383000
FIRE:   49 16:53:27     -243.067352        0.418713
FIRE:   50 16:53:30     -243.102755        0.644313
FIRE:   51 16:53:33     -243.141403        0.814654
FIRE:   52 16:53:36     -243.163206        0.196230
FIRE:   53 16:53:38     -243.159258        0.734761
FIRE:   54 16:53:41     -243.163360        0.592512
FIRE:   55 16:53:44     -243.168646        0.345225
FIRE:   56 16:53:47     -243.171848        0.130708
FIRE:   57 16:53:50     -243.172265        0.246075
FIRE:   58 16:53:53     -243.172528        0.237181
FIRE:   59 16:53:56     -243.172989        0.219940
FIRE:   60 16:53:59     -243.173647        0.195486
FIRE:   61 16:54:02     -243.174393        0.165522
FIRE:   62 16:54:05     -243.175204        0.131934
FIRE:   63 16:54:08     -243.175994        0.130267
FIRE:   64 16:54:11     -243.176740        0.130188
FIRE:   65 16:54:14     -243.177595        0.130082
FIRE:   66 16:54:16     -243.178604        0.164127
FIRE:   67 16:54:19     -243.179898        0.188492
FIRE:   68 16:54:22     -243.181631        0.190278
FIRE:   69 16:54:25     -243.183825        0.164516
FIRE:   70 16:54:28     -243.186522        0.128861
FIRE:   71 16:54:31     -243.189528        0.128380
FIRE:   72 16:54:34     -243.193015        0.127778
FIRE:   73 16:54:37     -243.197161        0.127057
